time,acceleration_x,acceleration_y,acceleration_z
19072,1.055,1.152,1.716
19101,1.052,1.152,0.455
19130,1.052,1.158,0.413
19160,1.058,1.158,2.416
19188,1.055,1.152,1.432
19218,1.052,1.155,0.442
19247,1.055,1.155,1.148
19276,1.058,1.155,2.423
19305,1.052,1.148,1.023
19334,1.052,1.148,0.448
19363,1.055,1.148,1.406
19392,1.061,1.155,2.394
19422,1.052,1.152,0.9
19450,1.055,1.152,0.455
19480,1.058,1.148,1.332
19509,1.058,1.152,2.413
19537,1.058,1.155,1.139
19567,1.052,1.148,0.435
19596,1.061,1.148,1.381
19625,1.058,1.152,2.413
19654,1.058,1.148,0.871
19684,1.052,1.142,0.439
19713,1.058,1.152,1.913
19742,1.061,1.152,2.4
19771,1.055,1.145,0.787
19800,1.052,1.152,0.448
19829,1.058,1.148,2.09
19858,1.055,1.155,2.435
19888,1.055,1.148,0.494
19916,1.058,1.148,0.439
19946,1.058,1.158,2.365
19975,1.061,1.155,2.435
20003,1.052,1.148,0.471
20033,1.055,1.152,0.442
20062,1.055,1.158,2.384
20091,1.058,1.158,2.419
20120,1.052,1.155,0.461
20150,1.052,1.152,0.442
20178,1.058,1.158,2.39
20208,1.061,1.155,2.41
20237,1.055,1.148,0.461
20265,1.055,1.155,0.419
20295,1.061,1.148,2.377
20324,1.055,1.155,2.239
20354,1.052,1.148,0.461
20382,1.055,1.148,0.413
20412,1.061,1.148,2.39
20441,1.055,1.152,1.926
20469,1.052,1.152,0.448
20499,1.055,1.145,0.4
20528,1.058,1.148,2.394
20557,1.061,1.148,2.245
20586,1.055,1.145,0.455
20616,1.052,1.145,0.419
20644,1.058,1.145,2.397
20674,1.055,1.145,1.71
20703,1.052,1.148,0.445
20731,1.058,1.155,0.774
20761,1.058,1.155,2.419
20790,1.055,1.152,1.184
20819,1.058,1.148,0.445
20848,1.058,1.155,0.935
20878,1.058,1.155,2.416
20907,1.055,1.152,1.016
20935,1.052,1.145,0.452
20965,1.058,1.152,1.003
20994,1.058,1.152,2.403
21023,1.055,1.152,1.235
21052,1.048,1.152,0.445
21082,1.058,1.152,1.297
21110,1.058,1.155,2.429
21140,1.055,1.155,1.039
21169,1.055,1.155,0.439
21197,1.058,1.152,1.803
21227,1.061,1.155,2.41
21256,1.055,1.152,0.926
21285,1.052,1.148,0.442
21314,1.055,1.152,1.852
21344,1.061,1.152,2.426
21372,1.055,1.148,0.568
21401,1.052,1.152,0.439
21431,1.058,1.152,2.248
21459,1.061,1.152,2.432
21489,1.052,1.145,0.474
21518,1.052,1.148,0.435
21548,1.055,1.152,2.371
21576,1.058,1.148,2.439
21606,1.052,1.148,0.465
21635,1.052,1.152,0.439
21663,1.058,1.155,2.377
21693,1.058,1.152,2.419
21722,1.055,1.152,0.461
21751,1.055,1.152,0.416
21780,1.061,1.155,2.377
21810,1.058,1.152,2.326
21838,1.052,1.152,0.461
21867,1.058,1.152,0.41
21897,1.061,1.152,2.387
21925,1.058,1.158,2.258
21955,1.055,1.148,0.461
21984,1.058,1.148,0.413
22013,1.055,1.158,2.39
22042,1.061,1.155,1.894
22072,1.055,1.148,0.455
22100,1.055,1.155,0.626
22129,1.058,1.152,2.394
22159,1.061,1.152,1.748
22188,1.055,1.152,0.455
22217,1.061,1.152,0.842
22246,1.058,1.155,2.419
22276,1.058,1.148,1.397
22304,1.055,1.145,0.442
22333,1.055,1.145,0.539
22363,1.055,1.152,2.423
22391,1.058,1.152,1.548
22421,1.055,1.142,0.455
22450,1.061,1.152,1.381
22479,1.058,1.148,2.39
22508,1.055,1.148,0.894
22538,1.052,1.152,0.448
22566,1.058,1.148,1.158
22595,1.061,1.155,2.416
22625,1.055,1.148,0.803
22653,1.058,1.152,0.448
22683,1.055,1.155,1.381
22712,1.061,1.148,2.426
22742,1.058,1.152,0.748
22770,1.058,1.148,0.439
22799,1.055,1.155,1.652
22829,1.058,1.158,2.419
22857,1.052,1.148,0.626
22887,1.052,1.148,0.432
22916,1.061,1.155,2.084
22945,1.058,1.152,2.426
22974,1.055,1.155,0.494
23004,1.052,1.155,0.426
23032,1.058,1.155,2.352
23061,1.058,1.152,2.435
23091,1.052,1.148,0.471
23119,1.055,1.148,0.41
23149,1.058,1.148,2.374
23178,1.055,1.152,2.435
23207,1.055,1.145,0.461
23236,1.052,1.145,0.419
23265,1.058,1.152,2.374
23294,1.055,1.152,2.332
23323,1.055,1.148,0.458
23353,1.055,1.148,0.41
23382,1.061,1.158,2.384
23411,1.058,1.155,2.245
23440,1.055,1.148,0.452
23470,1.055,1.148,0.41
23498,1.061,1.152,2.39
23527,1.061,1.155,1.903
23557,1.052,1.148,0.458
23585,1.055,1.148,0.413
23615,1.061,1.158,2.397
23644,1.055,1.152,1.7
23673,1.055,1.148,0.455
23702,1.055,1.158,0.765
23731,1.055,1.158,2.397
23760,1.052,1.158,1.416
23789,1.052,1.152,0.445
23819,1.058,1.152,0.923
23847,1.055,1.158,2.429
23877,1.055,1.148,1.206
23906,1.055,1.152,0.432
23936,1.061,1.152,1.277
23964,1.058,1.148,2.406
23993,1.055,1.152,1.435
24023,1.055,1.148,0.448
24051,1.058,1.152,1.11
24081,1.058,1.148,2.406
24110,1.055,1.152,0.845
24139,1.055,1.148,0.442
24168,1.055,1.152,1.429
24197,1.058,1.152,2.426
24226,1.055,1.148,0.771
24255,1.055,1.148,0.432
24285,1.058,1.148,1.639
24313,1.061,1.155,2.426
24343,1.055,1.148,0.742
24372,1.052,1.148,0.435
24401,1.052,1.155,1.948
24430,1.058,1.152,2.432
24459,1.055,1.152,0.619
24488,1.058,1.152,0.439
24517,1.061,1.152,2.3
24547,1.052,1.158,2.445
24576,1.055,1.152,0.474
24605,1.052,1.148,0.429
24634,1.055,1.155,2.384
24663,1.058,1.152,2.445
24692,1.055,1.155,0.461
24721,1.052,1.155,0.435
24751,1.058,1.152,2.381
24779,1.058,1.155,2.426
24809,1.052,1.148,0.458
24838,1.055,1.148,0.4
24867,1.058,1.152,2.39
24896,1.055,1.155,2.365
24925,1.052,1.148,0.448
24954,1.055,1.145,0.403
24983,1.058,1.152,2.387
25013,1.055,1.148,2.142
25041,1.052,1.148,0.455
25071,1.055,1.148,0.406
25100,1.058,1.152,2.394
25128,1.055,1.152,1.755
25158,1.052,1.148,0.455
25187,1.058,1.148,0.694
25217,1.058,1.152,2.4
25245,1.055,1.148,1.487
25275,1.055,1.148,0.452
25304,1.055,1.148,0.461
25333,1.058,1.152,2.432
25362,1.055,1.155,1.284
25391,1.055,1.148,0.432
25420,1.058,1.152,0.745
25449,1.058,1.155,2.403
25479,1.055,1.155,1.503
25507,1.055,1.152,0.455
25537,1.061,1.152,0.958
25566,1.058,1.152,2.4
25594,1.052,1.148,1.068
25624,1.055,1.145,0.448
25653,1.058,1.145,1.623
25682,1.058,1.152,2.413
25711,1.058,1.148,0.784
25741,1.048,1.152,0.439
25769,1.055,1.152,1.594
25799,1.058,1.155,2.423
25828,1.055,1.145,0.706
25857,1.055,1.148,0.432
25886,1.061,1.152,2.013
25915,1.058,1.152,2.416
25945,1.055,1.145,0.606
25973,1.052,1.152,0.439
26003,1.055,1.152,2.303
26032,1.058,1.155,2.445
26060,1.055,1.148,0.474
26090,1.055,1.148,0.439
26119,1.061,1.148,2.377
26148,1.058,1.152,2.445
26177,1.055,1.155,0.468
26207,1.055,1.152,0.413
26235,1.058,1.152,2.384
26265,1.055,1.155,2.448
26294,1.055,1.152,0.461
26322,1.055,1.152,0.413
26352,1.061,1.158,2.387
26381,1.052,1.158,2.426
26411,1.052,1.155,0.458
26439,1.052,1.152,0.403
26469,1.058,1.152,2.394
26498,1.058,1.152,2.258
26526,1.052,1.148,0.458
26556,1.058,1.148,0.406
26585,1.058,1.152,2.4
26614,1.061,1.152,1.89
26643,1.052,1.145,0.458
26673,1.058,1.152,0.639
26701,1.058,1.148,2.4
26731,1.052,1.152,1.503
26760,1.052,1.152,0.452
26788,1.058,1.145,0.406
26818,1.058,1.148,2.419
26847,1.052,1.148,1.377
26876,1.052,1.148,0.439
26905,1.058,1.155,0.752
26935,1.058,1.152,2.413
26963,1.052,1.148,1.119
26992,1.055,1.148,0.452
27022,1.061,1.152,1.01
27051,1.058,1.155,2.397
27080,1.058,1.152,0.974
27109,1.052,1.148,0.448
27139,1.052,1.155,1.623
27167,1.058,1.155,2.426
27197,1.055,1.148,0.797
27226,1.055,1.152,0.439
27254,1.058,1.155,1.768
27284,1.058,1.155,2.419
27313,1.055,1.152,1.013
27342,1.052,1.155,0.445
