Time,Light
3642,42
3643,43
3644,42
3645,42
3646,42
3647,42
3648,44
3649,42
3650,40
3651,43
3652,42
3653,43
3654,42
3655,42
3656,41
3657,41
3658,41
3659,42
3660,42
3661,42
3662,42
3663,43
3664,40
3665,40
3666,40
3667,41
3668,42
3669,41
3670,40
3671,41
3672,41
3673,42
3674,40
3675,42
3676,41
3677,41
3678,41
3679,41
3680,43
3681,42
3682,41
3683,41
3684,41
3685,42
3686,42
3687,40
3688,40
3689,40
3690,38
3691,39
3692,37
3693,38
3694,36
3695,37
3696,32
3697,34
3698,32
3699,30
3700,29
3701,28
3702,29
3703,29
3704,28
3705,25
3706,27
3707,26
3708,26
3709,25
3710,25
3711,23
3712,23
3713,23
3714,21
3715,22
3716,20
3717,22
3718,24
3719,20
3720,22
3721,20
3722,20
3723,19
3724,18
3725,20
3726,18
3727,21
3728,20
3729,20
3730,21
3731,19
3732,22
3733,20
3734,22
3735,20
3736,24
3737,21
3738,21
3739,23
3740,21
3741,21
3742,21
3743,24
3744,24
3745,23
3746,25
3747,24
3748,24
3749,23
3750,23
3751,22
3752,23
3753,24
3754,24
3755,26
3756,24
3757,28
3758,27
3759,29
3760,28
3761,31
3762,34
3763,34
3764,37
3765,38
3766,40
3767,41
3768,41
3769,42
3770,44
3771,44
3772,46
3773,47
3774,48
3775,49
3776,49
3777,51
3778,52
3779,53
3780,54
3781,56
3782,57
3783,57
3784,58
3785,56
3786,57
3787,59
3788,58
3789,60
3790,60
3791,58
3792,60
3793,59
3794,58
3795,57
3796,57
3797,57
3798,54
3799,56
3800,55
3801,55
3802,55
3803,56
3804,55
3805,54
3806,56
3807,54
3808,52
3809,52
3810,52
3811,51
3812,51
3813,52
3814,51
3815,52
3816,51
3817,51
3818,51
3819,52
3820,51
3821,50
3822,50
3823,50
3824,49
3825,49
3826,48
3827,48
3828,48
3829,46
3830,46
3831,43
3832,43
3833,42
3834,42
3835,42
3836,41
3837,42
3838,41
3839,40
3840,40
3841,40
3842,40
3843,37
3844,38
3845,37
3846,38
3847,36
3848,36
3849,36
3850,35
3851,36
3852,35
3853,36
3854,36
3855,35
3856,36
3857,34
3858,34
3859,35
3860,36
3861,34
3862,32
3863,35
3864,33
3865,32
3866,31
3867,31
3868,32
3869,33
3870,33
3871,32
3872,32
3873,33
3874,32
3875,32
3876,32
3877,33
3878,32
3879,32
3880,33
3881,34
3882,33
3883,32
3884,32
3885,32
3886,34
3887,32
3888,31
3889,31
3890,31
3891,31
3892,29
3893,30
3894,28
3895,28
3896,27
3897,26
3898,24
3899,23
3900,24
3901,24
3902,23
3903,22
3904,22
3905,20
3906,22
3907,20
3908,20
3909,19
3910,20
3911,18
3912,18
3913,18
3914,18
3915,17
3916,16
3917,17
3918,17
3919,18
3920,16
3921,17
3922,16
3923,17
3924,16
3925,16
3926,14
3927,15
